"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","log10PopCat"
"700","CA3610039","SAN BERNARDINO CITY","SAN BERNARDINO",204870,"42915","Local Government",5
"701","CA3610041","SAN GABRIEL VALLEY WC - FONTANA","SAN BERNARDINO",229900,"46323","Privately owned, PUC-regulated, for profit water company",5
"702","CA3610043","GOLDEN STATE WATER CO - BARSTOW","SAN BERNARDINO",31641,"8926","Privately owned, PUC-regulated, for profit water company",4
"703","CA3610046","VALLEY VIEW PARK MWC","SAN BERNARDINO",499,"218","Privately owned, non-PUC-regulated (Community Water System)",2
"704","CA3610047","GOLDEN STATE WATER CO - WRIGHTWOOD","SAN BERNARDINO",4424,"2761","Privately owned, PUC-regulated, for profit water company",3
"705","CA3610048","TERRACE WATER COMPANY","SAN BERNARDINO",2000,"603","Privately owned Mutual Water Company or Association",3
"706","CA3610050","UPLAND, CITY OF","SAN BERNARDINO",78564,"19392","Local Government",4
"707","CA3610051","VALLEY OF ENCHANTMENT MWC","SAN BERNARDINO",1850,"823","Privately owned Mutual Water Company or Association",3
"708","CA3610052","VICTORVILLE WATER DISTRICT","SAN BERNARDINO",122603,"34943","Local Government",5
"709","CA3610055","YUCAIPA VALLEY WATER DISTRICT","SAN BERNARDINO",54292,"13636","Local Government",4
"710","CA3610060","BDVWA - GOAT MOUNTAIN ID","SAN BERNARDINO",923,"512","Local Government",2
"711","CA3610061","DWP - SUGARLOAF/ERWIN LAKE","SAN BERNARDINO",3422,"4000","Local Government",3
"712","CA3610062","RUNNING SPRINGS WATER DISTRICT","SAN BERNARDINO",4862,"2935","Local Government",3
"713","CA3610063","GOLDEN STATE WATER CO - MORONGO DEL SUR","SAN BERNARDINO",1746,"809","Privately owned, PUC-regulated, for profit water company",3
"714","CA3610064","EAST VALLEY WATER DISTRICT","SAN BERNARDINO",103000,"21257","Local Government",5
"715","CA3610073","HI DESERT WD","SAN BERNARDINO",23760,"10665","Local Government",4
"716","CA3610085","SAN ANTONIO WATER COMPANY","SAN BERNARDINO",3371,"1210","Privately owned, non-PUC-regulated (Community Water System)",3
"717","CA3610093","ARROWHEAD VILLAS MUTUAL SERVICE COMPANY","SAN BERNARDINO",3578,"797","Privately owned Mutual Water Company or Association",3
"718","CA3610110","ARROWBEAR PARK CWD","SAN BERNARDINO",1856,"954","Local Government",3
"719","CA3610112","HELENDALE COMMUNITY SERVICE DISTRICT","SAN BERNARDINO",6510,"2820","Local Government",3
"720","CA3610117","DEVORE WC","SAN BERNARDINO",1630,"494","Privately owned, non-PUC-regulated (Community Water System)",3
"721","CA3610118","APPLE VALLEY RANCHOS WATER CO - YERMO","SAN BERNARDINO",1033,"313","Privately owned, PUC-regulated, for profit water company",3
"722","CA3610121","SBDNO COUNTY SERVICE AREA 64","SAN BERNARDINO",14375,"3922","Local Government",4
"723","CA3610125","SBNDO COUNTY SERVICE AREA 70J","SAN BERNARDINO",11944,"3300","Local Government",4
"724","CA1310002","CALEXICO, CITY OF","IMPERIAL",40357,"8431","Local Government",4
"725","CA1310003","GSWC-CALIPATRIA","IMPERIAL",4425,"1161","Privately owned, PUC-regulated, for profit water company",3
"726","CA1310004","EL CENTRO, CITY OF","IMPERIAL",46315,"10008","Local Government",4
"727","CA1310005","HOLTVILLE, CITY OF","IMPERIAL",6032,"1514","Local Government",3
"728","CA1310008","WESTMORLAND, CITY OF","IMPERIAL",2444,"501","Local Government",3
"729","CA3700909","JULIAN COMMUNITY SERVICES DISTRICT","SAN DIEGO",1517,"183","Local Government",3
"730","CA3700923","LAKE MORENA OAK SHORES MW CO.","SAN DIEGO",670,"205","Privately owned Mutual Water Company or Association",2
"731","CA3700938","YUIMA MUNICIPAL WATER DISTRICT IDA","SAN DIEGO",400,"227","Local Government",2
"732","CA3710004","DEL MAR, CITY OF","SAN DIEGO",4322,"1861","Local Government",3
"733","CA3710008","FALLBROOK PUD","SAN DIEGO",34894,"9107","Local Government",4
"734","CA3710011","JACUMBA COMMUNITY SD","SAN DIEGO",560,"241","Local Government",2
"735","CA3710012","RANCHO PAUMA MUTUAL WC","SAN DIEGO",899,"364","Privately owned Mutual Water Company or Association",2
"736","CA3710013","LAKESIDE WD","SAN DIEGO",35500,"6986","Local Government",4
"737","CA3710015","POWAY, CITY OF","SAN DIEGO",49990,"13930","Local Government",4
"738","CA3710026","VALLEY CENTER MWD","SAN DIEGO",25766,"8947","Local Government",4
"739","CA3710034","OTAY WATER DISTRICT","SAN DIEGO",223698,"49479","Local Government",5
"740","CA3710041","MAJESTIC PINES COMMUNITY SD","SAN DIEGO",1502,"703","Local Government",3
"741","CA3710047","CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR","SAN DIEGO",500,"216","Local Government",2
"742","CA1910004","GSWC - ARTESIA","LOS ANGELES",48308,"10716","Privately owned, PUC-regulated, for profit water company",4
"743","CA1910009","VALLEY COUNTY WATER DIST.","LOS ANGELES",55703,"12673","Local Government",4
"744","CA1910011","GSWC - BELL, BELL GARDENS","LOS ANGELES",57951,"7326","Privately owned, PUC-regulated, for profit water company",4
"745","CA1910043","GLENDALE-CITY, WATER DEPT.","LOS ANGELES",205536,"34120","Local Government",5
"746","CA1910062","LA VERNE, CITY WD","LOS ANGELES",33200,"8853","Local Government",4
"747","CA1910072","GSWC - WILLOWBROOK","LOS ANGELES",11004,"1440","Privately owned, PUC-regulated, for profit water company",4
"748","CA1910096","SANTA CLARITA VALLEY W.A.-NEWHALL DIV.","LOS ANGELES",12573,"3810","Local Government",4
"749","CA1910108","CITY OF BELL GARDENS","LOS ANGELES",4074,"1658","Local Government",3
"750","CA1910126","POMONA - CITY, WATER DEPT.","LOS ANGELES",155306,"29131","Local Government",5
"751","CA1910167","VERNON-CITY, WATER DEPT.","LOS ANGELES",30000,"964","Local Government",4
"752","CA1910195","GSWC - HOLLYDALE","LOS ANGELES",7701,"1667","Privately owned, PUC-regulated, for profit water company",3
"753","CA1910199","CALIFORNIA DOMESTIC WATER COMPANY","LOS ANGELES",0,"4","Privately owned Mutual Water Company or Association",-Inf
"754","CA1910213","TORRANCE-CITY, WATER DEPT.","LOS ANGELES",106886,"26103","Local Government",5
"755","CA1910244","GREEN VALLEY CWD","LOS ANGELES",1000,"499","Local Government",3
"756","CA1910247","SANTA CLARITA VALLEY W.A.-CASTAIC DIV.","LOS ANGELES",6376,"1915","Local Government",3
"757","CA1910253","CENTRAL BASIN MWD","LOS ANGELES",0,"3","Local Government",-Inf
"758","CA1910001","CITY OF ALHAMBRA","LOS ANGELES",85396,"17498","Local Government",4
"759","CA1910005","LOS ANGELES CWWD 40, REG. 38-LAKE LA","LOS ANGELES",13796,"3584","Local Government",4
"760","CA1910006","SO. CAL. EDISON CO.-SANTA CATALINA","LOS ANGELES",4096,"1943","Privately owned, PUC-regulated, for profit water company",3
"761","CA1910012","BELLFLOWER HOME GARDEN WATER COMPANY","LOS ANGELES",1129,"342","Privately owned Mutual Water Company or Association",3
"762","CA1910018","BELLFLOWER MUNICIPAL WATER SYSTEM","LOS ANGELES",5967,"1826","Local Government",3
"763","CA1910019","CERRITOS - CITY, WATER DEPT.","LOS ANGELES",49041,"15756","Local Government",4
"764","CA1910023","AVERYDALE MWC","LOS ANGELES",964,"292","Privately owned Mutual Water Company or Association",2
"765","CA1910025","LOS ANGELES CWWD 40, REG. 39-ROCK CREEK","LOS ANGELES",1317,"347","Local Government",3
"766","CA1910034","DOWNEY - CITY, WATER DEPT.","LOS ANGELES",112831,"23555","Local Government",5
"767","CA1910038","EL MONTE-CITY, WATER DEPT.","LOS ANGELES",22968,"3877","Local Government",4
"768","CA1910054","LA CANADA IRRIGATION DIST.","LOS ANGELES",9300,"2939","Local Government",3
"769","CA1910060","LA PUENTE VALLEY CWD","LOS ANGELES",9852,"2441","Local Government",3
"770","CA1910061","LAS FLORES WATER CO.","LOS ANGELES",4500,"1479","Privately owned Mutual Water Company or Association",3
"771","CA1910063","LINCOLN AVENUE WATER CO.","LOS ANGELES",16126,"4474","Privately owned Mutual Water Company or Association",4
"772","CA1910084","MAYWOOD MUTUAL WATER CO. #1","LOS ANGELES",5500,"1163","Privately owned Mutual Water Company or Association",3
"773","CA1910086","MAYWOOD MUTUAL WATER CO. #3","LOS ANGELES",9500,"2014","Privately owned Mutual Water Company or Association",3
"774","CA1910091","MONTEBELLO LAND & WATER CO.","LOS ANGELES",26554,"4048","Privately owned Mutual Water Company or Association",4
"775","CA1910103","PALM RANCH IRRIGATION DIST.","LOS ANGELES",5570,"1686","Local Government",3
"776","CA1910140","RUBIO CANON LAND & WATER ASSOCIATION","LOS ANGELES",9600,"3128","Privately owned Mutual Water Company or Association",3
"777","CA1910154","CITY OF SOUTH PASADENA","LOS ANGELES",26174,"6158","Local Government",4
"778","CA1910155","GSWC - SOUTHWEST","LOS ANGELES",274161,"51649","Privately owned, PUC-regulated, for profit water company",5
"779","CA1910163","VALENCIA HEIGHTS WATER CO.","LOS ANGELES",7775,"1677","Privately owned Mutual Water Company or Association",3
"780","CA1910203","LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM","LOS ANGELES",10678,"2817","Local Government",4
"781","CA1910204","LOS ANGELES CWWD 29 & 80-MALIBU","LOS ANGELES",31204,"7498","Local Government",4
"782","CA1910248","LOS ANGELES CWWD 37-ACTON","LOS ANGELES",6532,"1410","Local Government",3
"783","CA4100503","BUTANO CANYON MUTUAL","SAN MATEO",150,"94","Privately owned Mutual Water Company or Association",2
"784","CA4100509","COUNTY SERVICE AREA 7","SAN MATEO",300,"68","Local Government",2
"785","CA4100510","REDWOOD TERRACE MUTUAL","SAN MATEO",43,"16","Privately owned, non-PUC-regulated (Community Water System)",1
"786","CA4100512","LOMA MAR MUTUAL","SAN MATEO",65,"34","Privately owned, non-PUC-regulated (Community Water System)",1
"787","CA4100522","REDWOOD GLEN CAMP & CONFERENCE CTR","SAN MATEO",169,"13","Privately owned, non-PUC-regulated (Community Water System)",2
"788","CA4100529","CAMP LOMA MAR","SAN MATEO",176,"21","Privately owned, non-PUC-regulated (Community Water System)",2
"789","CA4100533","SKYLONDA MUTUAL","SAN MATEO",420,"154","Privately owned Mutual Water Company or Association",2
"790","CA4100538","CAMP JONES GULCH","SAN MATEO",357,"65","Privately owned, non-PUC-regulated (Community Water System)",2
"791","CA4100539","KINGS MOUNTAIN PARK MUTUAL","SAN MATEO",66,"23","Privately owned Mutual Water Company or Association",1
"792","CA4100540","OKU INC","SAN MATEO",35,"9","Privately owned, non-PUC-regulated (Community Water System)",1
"793","CA4100551","MARCHI CENTRAL FARM","SAN MATEO",50,"9","Privately owned, non-PUC-regulated (Community Water System)",1
"794","CA4100555","PORTOLA IMPROVEMENT ASSOCIATION","SAN MATEO",100,"35","Privately owned, non-PUC-regulated (Community Water System)",2
"795","CA4100582","COUNTY SERVICE AREA 11","SAN MATEO",450,"101","Local Government",2
"796","CA4100583","BIANCHI FLOWERS INC","SAN MATEO",65,"11","Privately owned, non-PUC-regulated (Community Water System)",1
"797","CA4110003","CITY OF BURLINGAME","SAN MATEO",31056,"8728","Local Government",4
"798","CA4110010","MONTARA WATER AND SANITARY DISTRICT","SAN MATEO",5289,"1664","Local Government",3
"799","CA4110012","CUESTA LA HONDA GUILD INC","SAN MATEO",832,"297","Privately owned Mutual Water Company or Association",2
"800","CA4110013","CITY OF DALY CITY","SAN MATEO",102593,"22549","Local Government",5
"801","CA4110019","O'CONNOR TRACT CO-OPERATIVE WATER CO.","SAN MATEO",3128,"348","Privately owned Mutual Water Company or Association",3
"802","CA4110022","CITY OF REDWOOD CITY","SAN MATEO",87023,"22821","Local Government",4
"803","CA4110023","CITY OF SAN BRUNO","SAN MATEO",46085,"11423","Local Government",4
"804","CA4110025","NORTH COAST COUNTY WATER DIST","SAN MATEO",38418,"11967","Local Government",4
"805","CA4300516","ALDERCROFT HEIGHTS COUNTY WATER DISTRICT","SANTA CLARA",338,"116","Privately owned Mutual Water Company or Association",2
"806","CA4300520","RAINERI MUTUAL WATER COMPANY","SANTA CLARA",132,"40","Privately owned, non-PUC-regulated (Community Water System)",2
"807","CA4300522","LAKE CANYON MUTUAL WATER COMPANY","SANTA CLARA",156,"56","Privately owned Mutual Water Company or Association",2
"808","CA4300525","MELODY WOODS WATER COMPANY","SANTA CLARA",168,"51","Privately owned Mutual Water Company or Association",2
"809","CA4300545","SARATOGA HEIGHTS MUTUAL WATER COMPANY","SANTA CLARA",258,"92","Privately owned Mutual Water Company or Association",2
"810","CA4300550","VISTA GRANDE WATER USERS ASSOCIATION","SANTA CLARA",60,"24","Privately owned, non-PUC-regulated (Community Water System)",1
"811","CA4300560","GREEN MOUNTAIN WATER COMPANY","SANTA CLARA",80,"38","Privately owned, non-PUC-regulated (Community Water System)",1
"812","CA4300567","BURCHELL ROAD WATER ASSOCIATION","SANTA CLARA",132,"27","Privately owned, non-PUC-regulated (Community Water System)",2
"813","CA4300573","GREEN ACRES MUTUAL WATER","SANTA CLARA",53,"19","Privately owned Mutual Water Company or Association",1
"814","CA4300578","ANGELO LANE WATER COMPANY","SANTA CLARA",52,"15","Privately owned, non-PUC-regulated (Community Water System)",1
"815","CA4300603","OAK DELL PARK","SANTA CLARA",100,"53","Privately owned, non-PUC-regulated (Community Water System)",2
"816","CA4300611","CASA DE FRUTA WATER SYSTEM","SANTA CLARA",250,"37","Privately owned, non-PUC-regulated (Community Water System)",2
"817","CA4300615","THOUSAND TRAILS - MORGAN HILL","SANTA CLARA",508,"320","Privately owned, non-PUC-regulated (Community Water System)",2
"818","CA4300637","LOS RANCHOS DE UVAS WATER COMPANY","SANTA CLARA",58,"22","Privately owned Mutual Water Company or Association",1
"819","CA4300638","SAN MARTIN FOOTHILLS WATER COMPANY","SANTA CLARA",145,"44","Privately owned, non-PUC-regulated (Community Water System)",2
"820","CA4300716","LUPIN LODGE","SANTA CLARA",300,"22","Privately owned, non-PUC-regulated (Community Water System)",2
"821","CA4300740","MOUNTAIN SPRINGS MUTUAL WATER COMPANY","SANTA CLARA",37,"18","Privately owned Mutual Water Company or Association",1
"822","CA4300771","NEW AVENUE MUTUAL WATER COMPANY","SANTA CLARA",269,"108","Privately owned Mutual Water Company or Association",2
"823","CA4300792","ABORN HEIGHTS WATER MUTUAL ASSOCIATION","SANTA CLARA",45,"19","Privately owned Mutual Water Company or Association",1
"824","CA4300909","LICK OBSERVATORY-UCSC","SANTA CLARA",135,"32","Privately owned, non-PUC-regulated (Community Water System)",2
"825","CA4300924","PARKWAY LAKES RV PARK","SANTA CLARA",250,"121","Privately owned, non-PUC-regulated (Community Water System)",2
"826","CA4300978","BRUSH AND OLD WELL MUTUAL WATER COMPANY","SANTA CLARA",70,"27","Privately owned Mutual Water Company or Association",1
"827","CA4301004","EMERALD VALLEY MUTUAL WATER COMPANY","SANTA CLARA",43,"13","Privately owned, non-PUC-regulated (Community Water System)",1
"828","CA4301013","ROCKWOOD ESTATES MUTUAL WATER COMPANY","SANTA CLARA",30,"14","Privately owned Mutual Water Company or Association",1
"829","CA4310001","CWSC LOS ALTOS SUBURBAN","SANTA CLARA",70014,"18308","Privately owned, PUC-regulated, for profit water company",4
"830","CA4310004","CITY OF GILROY","SANTA CLARA",57315,"14525","Local Government",4
"831","CA4310005","CITY OF MILPITAS","SANTA CLARA",74865,"16094","Local Government",4
"832","CA4310006","CITY OF MORGAN HILL","SANTA CLARA",45742,"14487","Local Government",4
"833","CA4310007","CITY OF MOUNTAIN VIEW","SANTA CLARA",79492,"17421","Local Government",4
"834","CA4310011","SAN JOSE WATER","SANTA CLARA",1007514,"222047","Privately owned, PUC-regulated, for profit water company",6
"835","CA4310012","CITY OF SANTA CLARA","SANTA CLARA",117200,"25889","Local Government",5
"836","CA4310013","STANFORD UNIVERSITY","SANTA CLARA",32218,"1494","Privately owned, non-PUC-regulated (Community Water System)",4
"837","CA4310019","CITY OF SAN JOSE - NSJ/ALVISO","SANTA CLARA",15300,"2353","Local Government",4
"838","CA4310021","PURISSIMA HILLS WATER DISTRICT","SANTA CLARA",6190,"2132","Local Government",3
"839","CA2100508","MUIR BEACH COMMUNITY","MARIN",436,"161","Privately owned, non-PUC-regulated (Community Water System)",2
"840","CA2100549","BLUE MOUNTAIN CENTER","MARIN",35,"12","Privately owned, non-PUC-regulated (Community Water System)",1
"841","CA2100579","NICASIO VALLEY RANCH MUTUAL","MARIN",43,"14","Privately owned Mutual Water Company or Association",1
"842","CA2110001","INVERNESS PUBLIC UTILITY DIST","MARIN",1394,"516","Local Government",3
"843","CA2110002","MARIN MUNICIPAL WATER DISTRICT","MARIN",189100,"60202","Local Government",5
"844","CA2110007","COAST SPRINGS - CAL. WATER SERVICE (PUC)","MARIN",210,"251","Privately owned, non-PUC-regulated (Community Water System)",2
"845","CA2110008","LAWSON S LANDING","MARIN",962,"65","Privately owned, non-PUC-regulated (Community Water System)",2
"846","CA4900508","CAZADERO WATER COMPANY, INC. (PUC)","SONOMA",250,"157","Privately owned, PUC-regulated, for profit water company",2
"847","CA4900532","SONOMA COUNTY CSA 41-JENNER","SONOMA",406,"123","Local Government",2
"848","CA4900545","BRANGER MUTUAL WATER COMPANY, INC.","SONOMA",300,"83","Privately owned Mutual Water Company or Association",2
"849","CA4900546","HAWKINS WATER CO-CAL WATER SERVICE (PUC)","SONOMA",127,"51","Privately owned, PUC-regulated, for profit water company",2
"850","CA4900547","END-O-VALLEY MUTUAL WATER COMPANY","SONOMA",129,"39","Privately owned Mutual Water Company or Association",2
"851","CA4900549","SONOMA COUNTY CSA 41-FREESTONE","SONOMA",90,"26","Local Government",1
"852","CA4900558","BELMONT TERRACE MUTUAL WATER COMPANY","SONOMA",244,"87","Privately owned Mutual Water Company or Association",2
"853","CA4900559","FIRCREST MUTUAL WATER COMPANY","SONOMA",126,"47","Privately owned Mutual Water Company or Association",2
"854","CA4900560","KELLY MUTUAL WATER COMPANY","SONOMA",135,"41","Privately owned Mutual Water Company or Association",2
"855","CA4900561","WILLOWSIDE MUTUAL WATER COMPANY","SONOMA",350,"160","Privately owned Mutual Water Company or Association",2
"856","CA4900570","PALOMINO LAKES MUTUAL WATER CO.","SONOMA",250,"113","Privately owned Mutual Water Company or Association",2
"857","CA4900578","CARMET BY THE SEA WATER COMPANY","SONOMA",280,"64","Privately owned Mutual Water Company or Association",2
"858","CA4900584","TIMBER COVE COUNTY WATER DISTRICT","SONOMA",271,"182","Privately owned, non-PUC-regulated (Community Water System)",2
"859","CA4900585","BENNETT RIDGE MUTUAL WATER COMPANY","SONOMA",446,"135","Privately owned, non-PUC-regulated (Community Water System)",2
"860","CA4900599","RANDAL'S RANCHETTE MUTUAL WATER COMPANY","SONOMA",100,"30","Privately owned Mutual Water Company or Association",2
"861","CA4900600","RINCON VALLEY MOBILE ESTATES","SONOMA",460,"230","Privately owned Mutual Water Company or Association",2
"862","CA4900608","SIX ACRES WATER COMPANY","SONOMA",66,"22","Privately owned Mutual Water Company or Association",1
"863","CA4900611","RAINS CREEK WATER DISTRICT","SONOMA",208,"63","Local Government",2
"864","CA4900612","HEIGHTS MUTUAL WATER COMPANY","SONOMA",363,"109","Privately owned Mutual Water Company or Association",2
"865","CA4900620","AUSTIN ACRES MUTUAL WATER COMPANY","SONOMA",67,"24","Privately owned, non-PUC-regulated (Community Water System)",1
"866","CA4900639","REDWOOD HEIGHTS MUTUAL WATER COMPANY","SONOMA",30,"18","Privately owned Mutual Water Company or Association",1
"867","CA4900640","SONOMA COUNTY MUTUAL WATER COMPANY","SONOMA",40,"18","Privately owned Mutual Water Company or Association",1
"868","CA4900641","SUNRISE MOUNTAIN MUTUAL WATER COMPANY","SONOMA",100,"51","Privately owned Mutual Water Company or Association",2
"869","CA4900660","YULUPA MUTUAL WATER COMPANY","SONOMA",200,"59","Privately owned Mutual Water Company or Association",2
"870","CA4900669","WENDELL LANE MUTUAL WATER COMPANY","SONOMA",88,"25","Privately owned Mutual Water Company or Association",1
"871","CA4900687","BROOKWOOD MOBILE HOME PARK","SONOMA",400,"202","Privately owned, non-PUC-regulated (Community Water System)",2
"872","CA4900720","MOBILE HOME ESTATES","SONOMA",210,"151","Privately owned, non-PUC-regulated (Community Water System)",2
"873","CA4900721","COLONIAL PARK","SONOMA",342,"195","Privately owned, non-PUC-regulated (Community Water System)",2
"874","CA4900785","NOEL HEIGHTS-CAL WATER SERVICE (PUC)","SONOMA",137,"48","Privately owned, PUC-regulated, for profit water company",2
"875","CA4900787","PLAZA MOBILE HOME PARK","SONOMA",125,"71","Privately owned, non-PUC-regulated (Community Water System)",2
"876","CA4900789","BLUE SPRUCE MOBILE HOME PARK","SONOMA",90,"56","Privately owned, non-PUC-regulated (Community Water System)",1
"877","CA4900791","WESTERN MOBILE HOME PARK","SONOMA",225,"73","Privately owned, non-PUC-regulated (Community Water System)",2
"878","CA4900796","SANTA ROSA MOBILE ESTATES","SONOMA",420,"141","Privately owned, non-PUC-regulated (Community Water System)",2
"879","CA4900798","MOUNTAIN VIEW MOBILE ESTATES, LLC","SONOMA",250,"111","Privately owned, non-PUC-regulated (Community Water System)",2
"880","CA4900832","LEISURE MOBILE HOME PARK","SONOMA",410,"186","Privately owned, non-PUC-regulated (Community Water System)",2
"881","CA4900843","SONOMA RANCH MUTUAL WATER COMPANY","SONOMA",178,"54","Privately owned Mutual Water Company or Association",2
"882","CA4900846","ROLLING OAKS ROAD ASSOCIATION","SONOMA",25,"16","Privately owned Mutual Water Company or Association",1
"883","CA4900850","BODEGA WATER COMPANY","SONOMA",77,"38","Privately owned Mutual Water Company or Association",1
"884","CA4900892","SUMMIT VIEW RANCH MUTUAL WATER CO.","SONOMA",45,"24","Privately owned Mutual Water Company or Association",1
"885","CA4900893","WEST WATER COMPANY (PUC)","SONOMA",40,"13","Privately owned, PUC-regulated, for profit water company",1
"886","CA4900913","ROBIN WAY WATER SYSTEM","SONOMA",66,"20","Privately owned Mutual Water Company or Association",1
"887","CA4900943","ALLIANCE REDWOODS CONFERENCE GROUNDS","SONOMA",418,"73","Privately owned, non-PUC-regulated (Community Water System)",2
"888","CA4900973","GEORGE RANCH MUTUAL WATER COMPANY","SONOMA",75,"54","Privately owned Mutual Water Company or Association",1
"889","CA4901062","KINNYBROOK MUTUAL WATER COMPANY","SONOMA",48,"23","Privately owned, non-PUC-regulated (Community Water System)",1
"890","CA4901346","DELORES LANE WATER SYSTEM","SONOMA",56,"17","Privately owned Mutual Water Company or Association",1
"891","CA4901381","LICHAU HYLANDS MUTUAL WATER COMPANY","SONOMA",37,"16","Privately owned Mutual Water Company or Association",1
"892","CA4901445","JAMES COURT WATER SYSTEM","SONOMA",192,"40","Privately owned, non-PUC-regulated (Community Water System)",2
"893","CA4910002","CLOVERDALE, CITY OF","SONOMA",9157,"3253","Local Government",3
"894","CA4910005","HEALDSBURG, CITY OF","SONOMA",12104,"4900","Local Government",4
"895","CA4910006","PETALUMA, CITY OF","SONOMA",63714,"19964","Local Government",4
"896","CA4910007","SEA RANCH WATER COMPANY,THE (PUC)","SONOMA",6134,"1859","Privately owned, PUC-regulated, for profit water company",3
"897","CA4910009","SANTA ROSA, CITY OF","SONOMA",178488,"52770","Local Government",5
"898","CA4910010","SONOMA COUNTY CSA 41-FITCH MOUNTAIN","SONOMA",1108,"337","Local Government",3
"899","CA4910012","SONOMA, CITY OF","SONOMA",11654,"4189","Local Government",4
"900","CA4910013","VALLEY OF THE MOON WATER DISTRICT","SONOMA",27000,"6981","Local Government",4
"901","CA4910014","ROHNERT PARK, CITY OF","SONOMA",42067,"9572","Local Government",4
"902","CA4910016","COTATI, CITY OF","SONOMA",7535,"2663","Local Government",3
"903","CA4910017","WINDSOR, TOWN OF","SONOMA",28209,"8917","Local Government",4
"904","CA4910018","ARMSTRONG VALLEY-CAL WATER SERVICE (PUC)","SONOMA",424,"269","Privately owned, non-PUC-regulated (Community Water System)",2
"905","CA4910019","FORESTVILLE WATER DISTRICT","SONOMA",3250,"985","Local Government",3
"906","CA4910021","BODEGA BAY PUBLIC UTILITY DISTRICT","SONOMA",1435,"1060","Local Government",3
"907","CA4910022","CANON MANOR WATER SYSTEM","SONOMA",782,"237","Privately owned, non-PUC-regulated (Community Water System)",2
"908","CA4910024","CALIFORNIA-AMERICAN GEYSERVILLE (PUC)","SONOMA",1020,"309","Privately owned, PUC-regulated, for profit water company",3
"909","CA4910025","KENWOOD VILLAGE WATER COMPANY (PUC)","SONOMA",977,"296","Privately owned, PUC-regulated, for profit water company",2
"910","CA4910029","CAMP MEEKER WATER SYSTEM","SONOMA",1168,"354","Local Government",3
"911","CA1500209","ALTA SIERRA MUTUAL WATER CO.","KERN",143,"224","Privately owned Mutual Water Company or Association",2
"912","CA1500324","WONDER ACRES WATER SYSTEM","KERN",89,"33","Local Government",1
"913","CA1500327","RANCHO SECO INC. WATER SYSTEM","KERN",25,"12","Privately owned Mutual Water Company or Association",1
"914","CA1500333","CWS - FREMONT VALLEY","KERN",116,"84","Privately owned, PUC-regulated, for profit water company",2
"915","CA1500393","RAINBIRD VALLEY MUTUAL WATER COMPANY","KERN",238,"85","Privately owned Mutual Water Company or Association",2
"916","CA1500398","FRONTIER TRAILS HOMEOWNERS ASSOC INC.","KERN",32,"32","Privately owned Mutual Water Company or Association",1
"917","CA1500407","CWS-SPLIT MOUNTAIN WATER SYSTEM","KERN",211,"160","Privately owned, PUC-regulated, for profit water company",2
"918","CA1500436","HUNGRY GULCH MWC","KERN",74,"36","Privately owned Mutual Water Company or Association",1
"919","CA1500455","WILLIAM FISHER MEMORIAL WATER COMPANY","KERN",56,"16","Privately owned Mutual Water Company or Association",1
"920","CA1500466","A.F.P. MUTUAL WATER COMPANY","KERN",686,"210","Privately owned Mutual Water Company or Association",2
"921","CA1500485","ANTELOPE VALLEY MOBILE ESTATES","KERN",60,"28","Privately owned, non-PUC-regulated (Community Water System)",1
"922","CA1500489","BRITE LAKE MUTUAL WATER COMPANY","KERN",89,"27","Privately owned Mutual Water Company or Association",1
"923","CA1500540","PINON VALLEY WATER COMPANY","KERN",109,"38","Privately owned, PUC-regulated, for profit water company",2
"924","CA1500542","WILLOW SPRINGS MOBILE HOME PARK","KERN",275,"104","Privately owned, non-PUC-regulated (Community Water System)",2
"925","CA1500591","SWEET WATER CO-OP","KERN",47,"15","Privately owned Mutual Water Company or Association",1
"926","CA1502569","FIRST MUTUAL WATER SYSTEM","KERN",35,"15","Privately owned Mutual Water Company or Association",1
"927","CA1502608","OWENS PEAK WEST","KERN",67,"24","Privately owned Mutual Water Company or Association",1
"928","CA1502619","SOUTH DESERT MUTUAL WATER COMPANY","KERN",26,"13","Privately owned Mutual Water Company or Association",1
"929","CA1502659","OWENS PEAK SOUTH","KERN",40,"17","Privately owned Mutual Water Company or Association",1
"930","CA1502690","DUNE 3 MUTUAL WATER COMPANY, LLC","KERN",101,"36","Privately owned Mutual Water Company or Association",2
"931","CA1502744","60TH STREET ASSOC. WATER SYSTEM","KERN",39,"10","Privately owned Mutual Water Company or Association",1
"932","CA1503226","QVWD-WEST & EAST COMBINED WATER SYSTEM","KERN",193,"69","Local Government",2
"933","CA1503270","LAKE ISABELLA COMMUNITY SERVICES DIST","KERN",500,"130","Privately owned, non-PUC-regulated (Community Water System)",2
"934","CA1510002","BORON CSD","KERN",2253,"613","Local Government",3
"935","CA1510014","MOJAVE PUD","KERN",4200,"1166","Local Government",3
"936","CA1510018","ROSAMOND CSD","KERN",16790,"5088","Local Government",4
"937","CA1510020","TEHACHAPI, CITY OF","KERN",8839,"3125","Local Government",3
"938","CA1510025","STALLION SPRINGS CSD","KERN",3603,"1313","Local Government",3
"939","CA1510032","CALIFORNIA CITY, CITY OF","KERN",14120,"4437","Local Government",4
"940","CA1510033","CWS - KERNVILLE","KERN",2520,"1779","Privately owned, PUC-regulated, for profit water company",3
