"","pwsid","PI_INFRASTRUCT_LEAKAGE_INDEX","REPORTING_YEAR","WATER_SUPPLIER_NAME","SUPPLIER_NAME"
"316","CA1510029",3.062278596,2016,"Vaughn Water Company","Vaughn Water Company"
"317","CAcharacter(0)",0.131486947,2016,"Pismo Beach  City Of","City of Pismo Beach"
"318","CA1910034",2.426126623,2017,"Downey  City Of","City of Downey - Public Works/Utilities"
"319","CAcharacter(0)",0.997977054,2016,"Hi Desert Water District","Hi-Desert Water District"
"320","CAcharacter(0)",2.159517461,2016,"El Dorado Irrigation District","El Dorado Irrigation District"
"321","CAcharacter(0)",2.855003104,2016,"Hollister  City Of","City of Hollister"
"322","CAcharacter(0)",NA,NA,"Blythe  City Of",NA
"323","CA1910036",0.0989,2016,"California Water Service Company East Los Angeles","California Water Service-ELA"
"324","CAcharacter(0)",NA,NA,"Myoma Dunes Mutual Water Company",NA
"325","CAcharacter(0)",NA,NA,"Porterville  City Of",NA
"326","CA1910166",0.00691,2017,"Valley Water Company","Valley Water Company"
"327","CA1510015",1.183953518,2016,"Oildale Mutual Water Company","OILDALE MUTUAL WATER COMPANY"
"328","CA1510012",5.702092129,2017,"Lamont Public Utility District","Lamont Public Utility District"
"329","CAcharacter(0)",1.308651542,2016,"San Bruno  City Of","City of San Bruno"
"330","CAcharacter(0)",1.662097796,2017,"Laguna Beach County Water District","Laguna Beach County Water District"
"331","CA0410007",0.618341009,2017,"Paradise Irrigation District","Paradise Irrigation District"
"332","CAcharacter(0)",1.128217367,2017,"Elk Grove Water District","Elk Grove Water District"
"333","CAcharacter(0)",0.902702873,2017,"Brea  City Of","City of Brea"
"334","CA4010002",0.890083941,2016,"Atascadero Mutual Water Company","Atascadero Mutual Water Co."
"335","CAcharacter(0)",2.285106032,2016,"East Bay Municipal Utility District","East Bay Municipal Utility District"
"336","CA2710001",1.016490237,2017,"Alco Water Service","SALINAS / ALCO WATER SERVICE"
"337","CA0110001",0.731065287,2016,"Alameda County Water District","Alameda County Water District"
"338","CA1910052",1.789315155,2017,"California American Water Company - Los Angeles Division","California American Water Los Angeles County District - Baldwin Hills"
"339","CA1910186",5.376353396,2017,"California American Water Company - Los Angeles Division","California American Water Los Angeles County District - Duarte"
"340","CA1910139",1.409484023,2017,"California American Water Company - Los Angeles Division","California American Water Los Angeles County District - San Marino"
"341","CA37100071",2.12684182,2017,"California American Water Company - San Diego District","California American Water - San Diego District"
"342","CAc(""56100140"", ""5610081"")",2.033565905,2017,"California American Water Company - Ventura District","California American Water - Ventura"
"343","CA4910005",0.964195181,2016,"Healdsburg  City Of","City of Healdsburg"
"344","CAcharacter(0)",2.049119586,2016,"East Valley Water District","East Valley Water District"
"345","CA4110021",2.142606104,2016,"Estero Municipal Improvement District","Estero Municipal Improvement District"
"346","CA7038",3.020739004,2017,"Tracy  City Of","City of Tracy"
"347","CA1910028",0.826743408,2016,"Crescenta Valley Community Water District","Crescenta Valley Water District"
"348","CA1010027",8.027363979,2016,"Reedley  City Of","City of Reedley"
"349","CA2910004",3.607849536,2016,"Nevada Irrigation District","Nevada Irrigation District"
"350","CA2910006",0.177794239,2016,"Nevada Irrigation District","Nevada Irrigation District"
"351","CA2910023",0.51335479,2016,"Nevada Irrigation District","Nevada Irrigation District"
"352","CA5510001",4.301778406,2016,"Tuolumne Utilities District","Tuolumne Utilities District"
"353","CA5510012",1.900469093,2016,"Tuolumne Utilities District","Tuolumne Utilities District"
"354","CAcharacter(0)",0.828370589,2016,"Trabuco Canyon Water District","Trabuco Canyon Water District"
"355","CA1010027",14.47145032,2017,"Reedley  City Of","City of Reedley"
"356","CA3010079",-0.321017089,2017,"El Toro Water District","El Toro Water District"
"357","CAcharacter(0)",2.137532967,2017,"Seal Beach  City Of","City of Seal Beach"
"358","CA0110011",1.025785674,2017,"Livermore  City Of","City of Livermore Water"
"359","CAcharacter(0)",0.913593462,2016,"Orangevale Water Company","Orange Vale Water Company"
"360","CAcharacter(0)",1.057875555,2017,"Orange  City Of","City of Orange"
"361","CA1010027",14.47145032,2017,"Reedley  City Of","City of Reedley"
"362","CA3610025",0.69199753,2017,"Joshua Basin Water District","Joshua Basin Water District"
"363","CAcharacter(0)",NA,NA,"Bellflower - Somerset Mutual Water Company",NA
"364","CAcharacter(0)",3.242846958,2016,"Orchard Dale Water District","Orchard Dale Water District"
"365","CA4410010",0.902560772,2017,"Santa Cruz  City Of","City of Santa Cruz Water Department"
"366","CA4910012",1.168071004,2017,"Sonoma  City Of","City of Sonoma"
"367","CA4810005",4.64514617,2017,"Suisun - Solano Water Authority","Suisun-Solano Water Authority"
"368","CAcharacter(0)",NA,NA,"Mammoth Community Water District",NA
"369","CA3710026",0.203635647,2017,"Valley Center Municipal Water District","Valley Center Municipal Water District"
"370","CAcharacter(0)",NA,NA,"Adelanto  City Of",NA
"371","CA1910079",3.31519142,2017,"Lynwood  City Of","Lynwood"
"372","CA1910234",1.339934768,2017,"Walnut Valley Water District","Walnut Valley Water District"
"373","CA3310012",1.3838942,2016,"Elsinore Valley Municipal Water District","Elsinore Valley Municipal Water District"
"374","CA3310012",0.852703852,2017,"Elsinore Valley Municipal Water District","Elsinore valley Municipal Water District"
"375","CA3010069",0.688737862,2017,"Fountain Valley  City Of","Fountain Valley"
"376","CA1310004",1.925156315,2016,"El Centro  City Of","City of El Centro"
"377","CA3410023",6.695240774,2017,"Fruitridge Vista Water Company","Fruitridge Vista Water Company"
"378","CAcharacter(0)",1.132750761,2016,"Fair Oaks Water District","Fair Oaks Water District"
"379","CAcharacter(0)",1.235183016,2017,"Fullerton  City Of","City of Fullerton"
"380","CA1510038",0.253157157,2016,"Bear Valley Community Services District","Bear Valley Community Services District"
"381","CA0710004",2.399942096,2017,"Brentwood  City Of","City of Brentwood"
"382","CAcharacter(0)",0.755544536,2017,"Westminster  City Of","City of Westminster"
"383","CA3310007",4.188053467,2017,"Coachella  City Of","Coachella Water Authority"
"384","CA3110004",1.949906217,2016,"Lincoln  City Of","City of Lincoln"
"385","CA3110004",1.899552526,2017,"Lincoln  City Of","Lincoln"
"386","CA3110005",4.1876428,2017,"Placer County Water Agency","Placer County Water Agency - Auburn/Bowman"
"387","CA1510022",10.02308816,2017,"West Kern Water District","West Kern Water District"
"388","CA3110025",2.453502588,2017,"Placer County Water Agency","Placer County Water Agency - Foothill/Sunset"
"389","CA1510031",2.20458473,2017,"Bakersfield  City Of","City of Bakersfield"
"390","CA2710004",0.148109479,2017,"California American Water Company - Monterey District","California American Water - Monterey Main System"
"391","CA5010014",3.459793165,2017,"Oakdale  City Of","City of Oakdale"
"392","CA1010003",0.250921695,2017,"Clovis  City Of","City of Clovis"
"393","CAcharacter(0)",NA,NA,"South Gate  City Of",NA
"394","CAcharacter(0)",0.665942842,2016,"Montecito Water District","Montecito Water District"
"395","CA1910152",0.826291102,2017,"South Gate  City Of","City of South Gate"
"396","CA1910034",1.520175007,2017,"Downey  City Of","City of Downey - Public Works/Utilities"
"397","CA3610038",0.598900569,2017,"Rialto  City Of","Rialto / Rialto Water Services"
"398","CA3610003",1.111850625,2017,"Apple Valley Ranchos Water Company","Liberty Utilities Apple Valley"
"399","CA1910079",2.507212078,2017,"Lynwood  City Of","Lynwood"
"400","CA4010001",0.837120603,2016,"Arroyo Grande  City Of","City of Arroyo Grande"
"401","CA4410014",1.546816515,2016,"San Lorenzo Valley Water District","San Lorenzo Valley Water District"
"402","CA1310006",3.31459889,2016,"Imperial  City Of","City of Imperial"
"403","CA4910006",1.148700044,2017,"Petaluma  City Of","City of Petaluma"
"404","CA3110008",2.478717028,2017,"Roseville  City Of","City of Roseville"
"405","CA4410014",2.149932619,2017,"San Lorenzo Valley Water District","San Lorenzo Valley Water District"
"406","CAcharacter(0)",0.00213,2016,"Norwalk  City Of","City of Norwalk"
"407","CA3310002",2.182821222,2017,"Beaumont - Cherry Valley Water District","Beaumont Cherry Valley Water District"
"408","CA0410011",1.289053818,2017,"Del Oro Water Company","DEL ORO WATER COMPANY"
"409","CA3010001",1.234248369,2017,"Anaheim  City Of","City of Anaheim Public Utilities Department"
"410","CA1910179",0.609114032,2017,"Burbank  City Of","City of Burbank"
"411","CAcharacter(0)",1.930557845,2016,"Laguna Beach County Water District","Laguna Beach County Water District"
"412","CA3310006",1.895098242,2017,"Banning  City Of","City of Banning"
"413","CA5010028",1.270511274,2017,"Ceres  City Of","City of Ceres"
"414","CA3710005",1.36992008,2017,"Carlsbad Municipal Water District","Carlsbad Municipal Water District"
"415","CA5010018",0.408480594,2017,"Riverbank  City Of","City of Riverbank"
"416","CAc(""4910004"", ""0028"")",1.660531873,2016,"Sweetwater Springs Water District","Sweetwater Springs Water District"
"417","CAcharacter(0)",0.2484119,2017,"Lompoc  City Of","City of Lompoc Water Division"
"418","CA3310051",2.420060811,2017,"Myoma Dunes Mutual Water Company","Myoma Water Company"
"419","CA4310022",1.945772657,2016,"Great Oaks Water Company Incorporated","Great Oaks Water Company"
"420","CAc(""4910004"", ""0028"")",1.997149181,2017,"Sweetwater Springs Water District","Sweetwater Springs Water District"
"421","CA3510003",0.681525713,2017,"Sunnyslope Community Water District","Sunnyslope County Water District"
"422","CA4410017",1.015149452,2017,"Soquel Creek Water District","Soquel Creek Water District"
"423","CA3410020",4.097015531,2018,"Sacramento  City Of","City of Sacramento Department of Utilities"
"424","CA1510017",1.957197233,2018,"Indian Wells Valley Water District","Indian Wells Valley Water District"
"425","CA4510006",1.165943577,2017,"Shasta Lake  City Of","City of Shasta Lake"
"426","CA4110003",0.999415417,2017,"Burlingame  City Of","City of Burlingame"
"427","CA3410006",0.970240673,2017,"Citrus Heights Water District","Citrus Heights Water District"
"428","CAcharacter(0)",0.475141107,2018,"Thousand Oaks  City Of","City of Thousand Oaks"
"429","CAcharacter(0)",3.513841675,2017,"Rubidoux Community Service District","Rubidoux Community Services District"
"430","CAcharacter(0)",2.905717249,2017,"Truckee - Donner Public Utilities District","Truckee Donner Public Utility District"
"431","CA4910014",1.222043875,2017,"Rohnert Park  City Of","City of Rohnert Park"
"432","CA1310001",3.285176139,2017,"Brawley  City Of","City of Brawley"
"433","CA1510020",1.943992841,2018,"Tehachapi  City Of","City of Tehachapi"
"434","CA1510020",4.004698558,2016,"Tehachapi  City Of","City of Tehachapi"
"435","CAcharacter(0)",3.004137154,2018,"San Clemente  City Of","City of San Clemente"
"436","CAc(""3010035"", ""3010070"")",1.849214234,2017,"Golden State Water Company - Placentia","Golden State Water Company - Placentia/Yorba Linda Systems"
"437","CA3010022",1.564254671,2017,"Golden State Water Company - West Orange","Golden State Water Company - West Orange County System"
"438","CAcharacter(0)",2.304385173,2017,"Golden State Water Company - Barstow","Barstow / Golden State Water Company"
"439","CAcharacter(0)",3.093434329,2017,"Golden State Water Company - Claremont","Golden State Water Company - Claremont"
"440","CAcharacter(0)",1.471419349,2017,"Golden State Water Company - San Dimas","San Dimas / Golden State Water Company"
"441","CAcharacter(0)",1.190932396,2017,"Golden State Water Company - South Arcadia","So. Arcadia / Golden State Water Company"
"442","CAcharacter(0)",3.874918762,2017,"Golden State Water Company - South San Gabriel","Golden State Water Company - S. San Gabriel"
"443","CA4910013",1.847769113,2016,"Valley Of The Moon Water District","Valley of the Moon Water District"
"444","CA4910005",0.72653993,2017,"Healdsburg  City Of","City of Healdsburg"
"445","CA4010011",0.110009467,2017,"Morro Bay  City Of","City of Morro Bay"
"446","CA4910013",2.840209804,2017,"Valley Of The Moon Water District","Valley of the Moon Water District"
"447","CA1910157",2.371077184,2017,"Sunny Slope Water Company","Sunny Slope Water Company"
"448","CA5410002",1.202514396,2017,"Dinuba  City Of","City of Dinuba"
"449","CAc(""31"", ""10001"")",3.086525801,2017,"North Tahoe Public Utilities District","North Tahoe Public Utility Distrct"
"450","CAcharacter(0)",1.62178254,2017,"Millbrae  City Of","City of Millbrae"
"451","CA4810007",3.814360634,2017,"Vallejo  City Of","City Of  Vallejo"
"452","CA3610120",0.944590667,2018,"Phelan Pinon Hills Community Services District","Phelan Pi“on Hills Community Services District"
"453","CA3610015",0.113861047,2017,"Crestline Village Water District","Crestline Village Water District"
"454","CA3410021",2.6628945,2017,"San Juan Water District","San Juan Water District"
"455","CA3310025",0.712648699,2017,"Norco  City Of","City of Norco"
"456","CA4310014",1.651576864,2017,"Sunnyvale  City Of","City of Sunnyvale"
"457","CA1510003",6.830831535,2017,"California Water Service Company Bakersfield","California Water Service-BK"
"458","CA1510055",5.618554458,2017,"California Water Service Company Bakersfield","California Water Service-BK NG"
"459","CA4110006",1.005386835,2017,"California Water Service Company Bear Gulch","California Water Service-BG"
"460","CA0410002",1.530031481,2017,"California Water Service Company Chico District","California Water Service-CH"
"461","CA1910033",1.207836873,2017,"California Water Service Company Dominguez","California Water Service-DOM"
"462","CA1910036",-0.1753797,2017,"California Water Service Company East Los Angeles","California Water Service-ELA"
"463","CA1910134",1.582413114,2017,"California Water Service Company Hermosa/Redondo","California Water Service-HR"
"464","CA1910047",1.533153161,2017,"Hawthorne  City Of","California Water Service-HAW"
"465","CA0110003",-0.0706,2017,"California Water Service Company Livermore","California Water Service-LIV"
"466","CA4310001",1.751329998,2017,"California Water Service Company Los Altos/Suburban","California Water Service-LAS"
"467","CA5810001",3.170418069,2017,"California Water Service Company Marysville","California Water Service-MRL"
"468","CA4110007",0.924276159,2017,"California Water Service Company Mid Peninsula","California Water Service_MPS SC"
"469","CA4110008",1.144432492,2017,"California Water Service Company Mid Peninsula","California Water Service_MPS SM"
"470","CA0410005",1.647483581,2017,"California Water Service Company Oroville","California Water Service-ORO"
"471","CA1910104",2.514787189,2017,"California Water Service Company Palos Verdes","California Water Service_PV"
"472","CA2710010",1.127126062,2017,"California Water Service Company Salinas District","California Water Service-SLN System"
"473","CA1010024",3.35365637,2017,"California Water Service Company Selma","California Water Service-SEL"
"474","CA4110009",-0.260845274,2017,"California Water Service Company South San Francisco","California Water Service-SSF"
"475","CA3910001",1.730457807,2017,"California Water Service Company Stockton","California Water Service-STK"
"476","CA5410016",0.824000837,2017,"California Water Service Company Visalia","California Water Service-VIS"
"477","CA5610016",1.024081474,2017,"California Water Service Company Westlake","California Water Service-WLK"
"478","CA3410031",2.133981358,2017,"California American Water Company - Sacramento District","California American Water-Sacramento District-Antelope"
"479","CA3410017",1.855002121,2017,"California American Water Company - Sacramento District","California American Water-Sacramento District-Parkway"
"480","CAc(""3410034"", ""3410010"")",1.879192603,2017,"California American Water Company - Sacramento District","California American Water-Sacramento District-Suburban/Rosemont"
"481","CAcharacter(0)",0.63387193,2017,"Westborough Water District","Westborough Water District"
"482","CAcharacter(0)",2.54387242,2017,"Golden State Water Company - Artesia","Golden State Water Company - Artesia"
"483","CAcharacter(0)",1.852486734,2017,"Golden State Water Company - Bell-Bell Gardens","Golden State Water Company - Bell-Bell Gardens"
"484","CAcharacter(0)",1.135301099,2017,"Golden State Water Company - Culver City","Golden State Water Company - Culver City"
"485","CAcharacter(0)",2.41031076,2017,"Golden State Water Company - Florence Graham","Golden State Water Company - Florence Graham"
"486","CAcharacter(0)",1.458860702,2017,"Golden State Water Company - Norwalk","Golden State Water Company - Norwalk"
"487","CA4110011",1.844132643,2018,"Coastside County Water District","Coastside County Water District"
"488","CA1010018",3.101658042,2017,"Kerman  City Of","City of Kerman"
"489","CA5510001",2.652477438,2017,"Tuolumne Utilities District","Tuolumne Utilities District"
"490","CA3710034",0.597726309,2018,"Otay Water District","Otay Water District"
"491","CA5510012",1.422295189,2017,"Tuolumne Utilities District","Tuolumne Utilities District"
"492","CAcharacter(0)",2.229424454,2017,"Yorba Linda Water District","Yorba Linda Water District"
"493","CAcharacter(0)",0.863519583,2018,"Lakeside Water District","Lakeside Water District"
"494","CA1910007",6.802100901,2017,"Azusa Light and Water","Azusa Light & Water"
"495","CA4010009",1.963669716,2017,"San Luis Obispo  City Of","City of San Luis Obispo"
"496","CAc(""1210001"", ""1210021"")",2.815498805,2017,"Arcata  City Of","City of Arcata"
"497","CAcharacter(0)",0.813392565,2017,"Escondido  City Of","City of Escondido"
"498","CA0910002",3.195689534,2017,"South Tahoe Public Utility District","South Tahoe Public Utility District"
"499","CAcharacter(0)",1.455583831,2017,"Golden State Water Company - Bay Point","Golden State Water Company - Bay Point"
"500","CAcharacter(0)",3.283377638,2017,"Golden State Water Company - Orcutt","Golden State Water Company - Orcutt"
"501","CAcharacter(0)",1.411144317,2017,"Golden State Water Company - Simi Valley","Golden State Water Company - Simi Valley"
"502","CA1910038",5.955275065,2017,"El Monte  City Of","El Monte Water Department"
"503","CA1910105",4.916885571,2018,"Paramount  City Of","City of Paramount"
"504","CAcharacter(0)",4.082213773,2016,"Montebello Land And Water Company","Montebello Land & Water Co."
"505","CA1910213",0.925564663,2017,"Torrance  City Of","Torrance Municipal Water District"
"506","CA4110017",-1.308530008,2017,"Menlo Park  City Of","Menlo Park"
"507","CA5710001",3.412948238,2017,"Davis  City Of","City of Davis"
"508","CAcharacter(0)",1.631202201,2018,"Pittsburg  City Of","City of Pittsburg"
"509","CA3310021",2.397063824,2017,"Jurupa Community Service District","Jurupa Community Services District"
"510","CA3710029",1.432171591,2017,"Olivenhain Municipal Water District","Olivenhain Municipal Water District"
"511","CA3010101",0.331180123,2018,"Santa Margarita Water District","Santa Margarita Water District"
"512","CA4010014",1.164211823,2017,"Cambria Community Service District","Cambria Community Services District"
"513","CA0310002",2.812864474,2017,"Amador Water Agency","Amador Water Agency"
"514","CAcharacter(0)",1.496545356,2017,"La Habra  City Of","La Habra"
"515","CA3010073",1.726331367,2018,"Moulton Niguel Water District","Moulton Niguel Water District"
"516","CA1910067",1.754842846,2018,"Los Angeles City Department Of Water And Power","Los Angeles Department of Water and Power"
"517","CAcharacter(0)",2.673660135,2017,"Yuba City","Yuba City Water Department"
"518","CA4710011",2.902174997,2017,"Yreka  City Of","City of Yreka"
"519","CA0510016",4.112465376,2017,"Calaveras County Water District","Calaveras County Water District - Ebbetts Pass"
"520","CA0510006",7.685628201,2017,"Calaveras County Water District","Calaveras County Water District - Jenny Lind"
"521","CA0110008",2.883531774,2017,"Pleasanton  City Of","City of Pleasanton"
"522","CA0510006",5.660284762,2016,"Calaveras County Water District","Calaveras County Water District - Jenny Lind"
"523","CA3410018",4.161472311,2017,"Rio Linda - Elverta Community Water District","Rio Linda/ Elverta Community Water District"
"524","CA1910019",1.844285594,2017,"Cerritos  City Of","City of Cerritos"
"525","CA3610057",0.640762797,2017,"Riverside Highland Water Company","Riverside Highland Water Company"
"526","CA3610052",1.863642028,2018,"Victorville Water District","City of Victorville Victorville Water District"
"527","CA4910017",1.590720829,2018,"Windsor  Town Of","Town of Windsor / Windsor Water District"
"528","CA3610034",1.492497745,2017,"Ontario  City Of","City of Ontario"
"529","CAcharacter(0)",2.61398134,2017,"Arcadia  City Of","City of Arcadia"
"530","CA2710017",1.517469127,2017,"Marina Coast Water District","Marina Coast Water District"
"531","CA40",3.508682509,2017,"Sacramento County Water Agency","Sacramento County Water Agency"
"532","CA40",11.37227449,2017,"Sacramento County Water Agency","Sacramento County Water Agency"
"533","CA3410004",2.989654506,2017,"Carmichael Water District","Carmichael Water District"
"534","CA3610036",0.0156,2018,"Chino Hills  City Of","City of Chino Hills"
"535","CAc(""1910001"", ""003"")",0.955041704,16,"Alhambra  City Of","City of Alhambra"
"536","CA3310001",1.529958207,2018,"Coachella Valley Water District","Coachella Valley Water District"
"537","CAcharacter(0)",1.728471879,2017,"Valencia Water Company","Valencia Water Company"
"538","CA4910009",1.083399101,2017,"Santa Rosa  City Of","City of Santa Rosa"
"539","CA5610017",1.337615766,2017,"San Buenaventura  City Of (Ventura)","City of San Buenaventura / Ventura Water"
"540","CA1910096",1.880779451,2018,"Newhall County Water District","SCV Water - Newhall Division"
"541","CAcharacter(0)",0.778921191,2017,"Georgetown Divide Public Utility District","Georgetown Divide Public Utility District"
"542","CA1010019",42.16067281,2016,"Kingsburg  City Of","Kingsburg,City of"
"543","CA3410001",1.230532561,2017,"Sacramento Suburban Water District","Sacramento Suburban Water District"
"544","CAcharacter(0)",0.341268702,2018,"Big Bear Lake  City Of","City of Big Bear Lake Department of Water"
"545","CA3710016",0.0953,2018,"Rainbow Municipal Water District","Rainbow Municipal Water District"
"546","CAcharacter(0)",0.22493563,2017,"Yucaipa Valley Water District","Yucaipa Valley Water District"
"547","CA1910205",1.26758676,2017,"Suburban Water Systems - San Jose Hills","Suburban Water Systems"
"548","CA1210009",4.063871719,2017,"Humboldt Community Services District","2017-Humboldt Community Services District"
"549","CA1910174",1.453024346,2017,"Suburban Water Systems - Whittier/La Mirada","Suburban Water Systems"
"550","CAcharacter(0)",0.853777943,2017,"Hesperia Water District","Hesperia Water District (CA3610024)"
"551","CA3310038",1.801650209,2018,"Rancho California Water District","Rancho California Water District"
"552","CA3010038",1.10716038,2017,"Santa Ana  City Of","City of Santa Ana"
"553","CA4010001",0.57095581,2017,"Arroyo Grande  City Of","City of Arroyo Grande"
"554","CA1910194",1.380112237,2017,"Rowland Water District","Rowland Water District"
"555","CA3610013",0.665107795,2016,"Loma Linda  City Of","City of Loma Linda Water Dept"
"556","CA3610029",NA,2018,"Monte Vista Water District","Monte Vista Water District"
"557","CA1910127",1.945574281,2017,"Covina Irrigating Company","City of Covina"
"558","CA4210011",0.126241561,2017,"Santa Maria  City Of","City of Santa Maria"
"559","CA3910005",1.328467751,2017,"Manteca  City Of","City of Manteca"
"560","CA0710006",2.947333472,2017,"Martinez  City Of","City of Martinez"
"561","CAcharacter(0)",2.552748577,2017,"Garden Grove  City Of","City of Garden Grove"
"562","CA4010007",0.7780716,2017,"Paso Robles  City Of","City of Paso Robles"
"563","CA4110022",1.827865947,2018,"Redwood City","City of Redwood City"
"564","CAcharacter(0)",3.893322122,2017,"Riverside  City Of","Riverside Public Utilities"
"565","CAcharacter(0)",1.157097259,2017,"Marin Municipal Water District","Marin Municipal Water District"
"566","CAcharacter(0)",8.676678404,2017,"Folsom  City Of","Folsom - Environmental & Water Resources Department"
"567","CA1910091",2.385823829,2018,"Montebello Land And Water Company","Montebello Land & Water Co."
"568","CA3610049",1.480517108,2017,"Twentynine Palms Water District","Twentynine Palms Water District"
"569","CA0710009",1.59985486,2017,"Discovery Bay Community Services District","Town of Discovery Bay Community Services District"
"570","CA3310009",1.143383793,2018,"Eastern Municipal Water District","Eastern Municipal Water District"
"571","CA0810001",4.102012673,2017,"Crescent City","Crescent City"
"572","CA1210016",1.340752633,2017,"McKinleyville Community Services District","McKinleyville Community Services District"
"573","CA3710037",0.391061439,2018,"Padre Dam Municipal Water District","Padre Dam Municipal Water District"
"574","CAcharacter(0)",1.005670723,2017,"San Jose  City Of","San Jose Municipal Water System"
"575","CA3610125",1.31340049,2018,"San Bernardino County Service Area 70 J Oak Hills","San Bernardino County Service Area 70 J - Oak Hills"
"576","CA1910090",0.808574457,2017,"Monrovia  City Of","City of Monrovia"
"577","CAcharacter(0)",4.769680783,2017,"Fresno  City Of","City of Fresno"
"578","CA3610121",4.72174659,2018,"San Bernardino County Service Area 64 Spring Valley Lake","San Bernardino County Service Area 64 - Spring Valley Lake"
"579","CAcharacter(0)",NA,NA,"Tulare  City Of",NA
"580","CA3710021",1.257056941,2018,"San Dieguito Water District","San Dieguito Water District"
"581","CAcharacter(0)",0.996492134,2017,"Contra Costa Water District","Contra Costa Water District"
"582","CA3710023",1.908059309,2018,"Santa Fe Irrigation District","Santa Fe Irrigation District"
"583","CA1910239",1.34221291,2017,"Lakewood  City Of","CITY OF LAKEWOOD"
"584","CA3710010",0.90665387,2018,"Helix Water District","Helix Water District"
"585","CAcharacter(0)",0.707294435,2017,"Trabuco Canyon Water District","Trabuco Canyon Water District"
"586","CA4210004",1.398344673,2017,"Goleta Water District","Goleta Water District"
"587","CA4210010",-0.532351985,2018,"Santa Barbara  City Of","City of Santa Barbara"
"588","CA1910063",1.493805433,2017,"Lincoln Avenue Water Company","Lincoln Avenue Water Company"
"589","CA1910211",0.206100988,2017,"Liberty Utilities (Park Water) Corp","Liberty Utilities (Park Water)"
"590","CA1910161",0.0579,2017,"Liberty Utilities (Park Water) Corp","Liberty Utilities (Park Water)"
"591","CA2810003",2.141597546,2017,"Napa  City Of","City of Napa"
"592","CA1910211",0.49155614,2017,"Liberty Utilities (Park Water) Corp","Liberty Utilities (Park Water)"
"593","CA1910021",0.49155614,2017,"Liberty Utilities (Park Water) Corp","Liberty Utilities (Park Water)"
"594","CA4810008",2.092975939,2017,"Vacaville  City Of","City of Vacaville/Utilities Department"
"595","CA3710020",1.494959339,2018,"San Diego  City Of","City of San Diego - Public Utilities"
"596","CA1210006",1.741275477,2017,"Fortuna  City Of","City of Fortuna"
"597","CA1910173",1.417988151,2018,"Whittier  City Of","City of Whittier/Water Division"
"598","CAcharacter(0)",NA,NA,"Palo Alto  City Of",NA
"599","CAcharacter(0)",1.959706219,2017,"San Gabriel County Water District","San Gabriel County Water District"
"600","CA56100140",1.435306698,2016,"California American Water Company - Ventura District","California American Water - Ventura (Revised)"
"601","CA56100140",2.039230999,2017,"California American Water Company - Ventura District","California American Water - Ventura (Revised)"
"602","CA4810001",3.322418928,2017,"Benicia  City Of","City of Benicia"
"603","CAcharacter(0)",2.730430148,2017,"El Dorado Irrigation District","El Dorado Irrigation District"
"604","CA4310018",1.059703408,2018,"Cupertino  City Of","City of Cupertino"
"605","CA4310011",1.451375672,2018,"San Jose Water Company","San Jose Water Company"
"606","CA5010019",4.526525443,2017,"Turlock  City Of","City of Turlock"
"607","CA1910166",1.487824786,2017,"Valley Water Company","Valley Water Company"
"608","CA1910225",-0.333304935,2017,"Las Virgenes Municipal Water District","Las Virgenes Municipal Water District"
"609","CA1910049",1.140993249,2017,"Huntington Park  City Of","City of Huntington Park"
"610","CA4110021",3.145044006,2017,"Estero Municipal Improvement District","Estero Municipal Improvement District"
"611","CA0110006",1.508096691,2017,"Hayward  City Of","City of Hayward"
"612","CA1910126",2.080720637,2017,"Pomona  City Of","City of Pomona"
"613","CA3610004",4.270123923,2017,"West Valley Water District","West Valley Water District"
"614","CAcharacter(0)",3.094166302,2017,"East Bay Municipal Utility District","East Bay Municipal Utility District"
"615","CA4310012",1.708509673,2017,"Santa Clara  City Of","City of Santa Clara - Water & Sewer Utilties"
"616","CA3610018",1.430723531,2017,"Cucamonga Valley Water District","Cucamonga Valley Water District"
"617","CA3010046",4.666467335,2017,"Tustin  City Of","City Of Tustin Water Service"
"618","CA3710018",0.0389,2017,"Rincon Del Diablo Municipal Water District","Rincon del Diablo Municipal Water District"
"619","CA1910140",1.431546956,2017,"Rubio Canyon Land And Water Association","Rubio Ca“on Land and Water Association"
"620","CAcharacter(0)",0.49488635,2018,"Dublin San Ramon Services District","Dublin San Ramon Services District"
"621","CAcharacter(0)",1.175554422,2017,"Ventura County Waterworks District No 08 - Simi Valley","City of Simi Valley"
"622","CA1020",0.990548914,2018,"Lathrop  City Of","City of Lathrop"
"623","CA5610043",-0.485658034,2018,"Triunfo Sanitation District/Oak Park Water Service","TSD/Oak Park Water Service"
"624","CA5710006",3.311953606,2017,"Woodland  City Of","City of Woodland"
"625","CA1910062",2.758883885,NA,"La Verne  City Of","City of La Verne"
"626","CAcharacter(0)",NA,NA,"Orchard Dale Water District",NA
"627","CA2810005",1.848842757,2017,"American Canyon  City Of","City of American Canyon"
"628","CAcharacter(0)",0.714276335,2017,"Mid-Peninsula Water District","Mid-Peninsula Water District"
"629","CAcharacter(0)",0.805031918,2018,"Vista Irrigation District","Vista Irrigation District"
"630","CA4510014",3.64720699,2017,"Bella Vista Water District","Bella Vista Water District"
"631","CA4410013",0.74838648,2017,"Scotts Valley Water District","Scotts Valley Water District"
