"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","Pop_per_conn","log10PopCat"
"741","CA3610125","SBNDO COUNTY SERVICE AREA 70J","SAN BERNARDINO",11944,3300,"Local Government",3.61939393939394,4
"742","CA1310002","CALEXICO, CITY OF","IMPERIAL",40357,8431,"Local Government",4.78673941406713,4
"743","CA1310003","GSWC-CALIPATRIA","IMPERIAL",4425,1161,"Privately owned, PUC-regulated, for profit water company",3.81136950904393,3
"744","CA1310004","EL CENTRO, CITY OF","IMPERIAL",46315,10008,"Local Government",4.62779776179057,4
"745","CA1310005","HOLTVILLE, CITY OF","IMPERIAL",6032,1514,"Local Government",3.98414795244386,3
"746","CA1310008","WESTMORLAND, CITY OF","IMPERIAL",2444,501,"Local Government",4.87824351297405,3
"747","CA3700909","JULIAN COMMUNITY SERVICES DISTRICT","SAN DIEGO",1517,183,"Local Government",8.2896174863388,3
"748","CA3700923","LAKE MORENA OAK SHORES MW CO.","SAN DIEGO",670,205,"Privately owned Mutual Water Company or Association",3.26829268292683,2
"749","CA3700938","YUIMA MUNICIPAL WATER DISTRICT IDA","SAN DIEGO",400,227,"Local Government",1.76211453744493,2
"750","CA3710004","DEL MAR, CITY OF","SAN DIEGO",4322,1861,"Local Government",2.32240730789898,3
"751","CA3710008","FALLBROOK PUD","SAN DIEGO",34894,9107,"Local Government",3.8315581420885,4
"752","CA3710011","JACUMBA COMMUNITY SD","SAN DIEGO",560,241,"Local Government",2.32365145228216,2
"753","CA3710012","RANCHO PAUMA MUTUAL WC","SAN DIEGO",899,364,"Privately owned Mutual Water Company or Association",2.46978021978022,2
"754","CA3710013","LAKESIDE WD","SAN DIEGO",35500,6986,"Local Government",5.08159175493845,4
"755","CA3710015","POWAY, CITY OF","SAN DIEGO",49990,13930,"Local Government",3.5886575735822,4
"756","CA3710026","VALLEY CENTER MWD","SAN DIEGO",25766,8947,"Local Government",2.87984799374092,4
"757","CA3710027","VISTA IRRIGATION DISTRICT","SAN DIEGO",135204,27489,"Local Government",4.91847648150169,5
"758","CA3710034","OTAY WATER DISTRICT","SAN DIEGO",223698,49479,"Local Government",4.52106954465531,5
"759","CA3710041","MAJESTIC PINES COMMUNITY SD","SAN DIEGO",1502,703,"Local Government",2.13655761024182,3
"760","CA3710047","CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR","SAN DIEGO",500,216,"Local Government",2.31481481481481,2
"761","CA1910004","GSWC - ARTESIA","LOS ANGELES",48308,10716,"Privately owned, PUC-regulated, for profit water company",4.50802538260545,4
"762","CA1910009","VALLEY COUNTY WATER DIST.","LOS ANGELES",55703,12673,"Local Government",4.39540755937821,4
"763","CA1910011","GSWC - BELL, BELL GARDENS","LOS ANGELES",57951,7326,"Privately owned, PUC-regulated, for profit water company",7.91031941031941,4
"764","CA1910043","GLENDALE-CITY, WATER DEPT.","LOS ANGELES",205536,34120,"Local Government",6.02391559202814,5
"765","CA1910062","LA VERNE, CITY WD","LOS ANGELES",33200,8853,"Local Government",3.75014119507512,4
"766","CA1910072","GSWC - WILLOWBROOK","LOS ANGELES",11004,1440,"Privately owned, PUC-regulated, for profit water company",7.64166666666667,4
"767","CA1910096","SANTA CLARITA VALLEY W.A.-NEWHALL DIV.","LOS ANGELES",12573,3810,"Local Government",3.3,4
"768","CA1910108","CITY OF BELL GARDENS","LOS ANGELES",4074,1658,"Local Government",2.45717732207479,3
"769","CA1910126","POMONA - CITY, WATER DEPT.","LOS ANGELES",155306,29131,"Local Government",5.33129655693248,5
"770","CA1910128","COVINA IRRIGATING CO.","LOS ANGELES",0,12,"Privately owned, non-PUC-regulated (Community Water System)",0,-Inf
"771","CA1910167","VERNON-CITY, WATER DEPT.","LOS ANGELES",30000,964,"Local Government",31.1203319502075,4
"772","CA1910195","GSWC - HOLLYDALE","LOS ANGELES",7701,1667,"Privately owned, PUC-regulated, for profit water company",4.61967606478704,3
"773","CA1910199","CALIFORNIA DOMESTIC WATER COMPANY","LOS ANGELES",0,4,"Privately owned Mutual Water Company or Association",0,-Inf
"774","CA1910213","TORRANCE-CITY, WATER DEPT.","LOS ANGELES",106886,26103,"Local Government",4.09477837796422,5
"775","CA1910244","GREEN VALLEY CWD","LOS ANGELES",1000,499,"Local Government",2.00400801603206,3
"776","CA1910247","SANTA CLARITA VALLEY W.A.-CASTAIC DIV.","LOS ANGELES",6376,1915,"Local Government",3.32950391644909,3
"777","CA1910253","CENTRAL BASIN MWD","LOS ANGELES",0,3,"Local Government",0,-Inf
"778","CA1900007","CALIFORNIA CONSERVATION CAMP #14","LOS ANGELES",95,15,"Local Government",6.33333333333333,1
"779","CA1910001","CITY OF ALHAMBRA","LOS ANGELES",85396,17498,"Local Government",4.88032918047777,4
"780","CA1910005","LOS ANGELES CWWD 40, REG. 38-LAKE LA","LOS ANGELES",13796,3584,"Local Government",3.84933035714286,4
"781","CA1910006","SO. CAL. EDISON CO.-SANTA CATALINA","LOS ANGELES",4096,1943,"Privately owned, PUC-regulated, for profit water company",2.1080802882141,3
"782","CA1910012","BELLFLOWER HOME GARDEN WATER COMPANY","LOS ANGELES",1129,342,"Privately owned Mutual Water Company or Association",3.30116959064327,3
"783","CA1910018","BELLFLOWER MUNICIPAL WATER SYSTEM","LOS ANGELES",5967,1826,"Local Government",3.26779846659365,3
"784","CA1910019","CERRITOS - CITY, WATER DEPT.","LOS ANGELES",49041,15756,"Local Government",3.11252856054836,4
"785","CA1910023","AVERYDALE MWC","LOS ANGELES",964,292,"Privately owned Mutual Water Company or Association",3.3013698630137,2
"786","CA1910025","LOS ANGELES CWWD 40, REG. 39-ROCK CREEK","LOS ANGELES",1317,347,"Local Government",3.79538904899135,3
"787","CA1910034","DOWNEY - CITY, WATER DEPT.","LOS ANGELES",112831,23555,"Local Government",4.79010825727022,5
"788","CA1910038","EL MONTE-CITY, WATER DEPT.","LOS ANGELES",22968,3877,"Local Government",5.92416817126644,4
"789","CA1910054","LA CANADA IRRIGATION DIST.","LOS ANGELES",9300,2939,"Local Government",3.16434161279347,3
"790","CA1910060","LA PUENTE VALLEY CWD","LOS ANGELES",9852,2441,"Local Government",4.03605079885293,3
"791","CA1910061","LAS FLORES WATER CO.","LOS ANGELES",4500,1479,"Privately owned Mutual Water Company or Association",3.04259634888438,3
"792","CA1910063","LINCOLN AVENUE WATER CO.","LOS ANGELES",16126,4474,"Privately owned Mutual Water Company or Association",3.6043808672329,4
"793","CA1910084","MAYWOOD MUTUAL WATER CO. #1","LOS ANGELES",5500,1163,"Privately owned Mutual Water Company or Association",4.72914875322442,3
"794","CA1910086","MAYWOOD MUTUAL WATER CO. #3","LOS ANGELES",9500,2014,"Privately owned Mutual Water Company or Association",4.71698113207547,3
"795","CA1910091","MONTEBELLO LAND & WATER CO.","LOS ANGELES",26554,4048,"Privately owned Mutual Water Company or Association",6.55978260869565,4
"796","CA1910103","PALM RANCH IRRIGATION DIST.","LOS ANGELES",5570,1686,"Local Government",3.30367734282325,3
"797","CA1910140","RUBIO CANON LAND & WATER ASSOCIATION","LOS ANGELES",9600,3128,"Privately owned Mutual Water Company or Association",3.0690537084399,3
"798","CA1910154","CITY OF SOUTH PASADENA","LOS ANGELES",26174,6158,"Local Government",4.25040597596622,4
"799","CA1910155","GSWC - SOUTHWEST","LOS ANGELES",274161,51649,"Privately owned, PUC-regulated, for profit water company",5.30815698271022,5
"800","CA1910163","VALENCIA HEIGHTS WATER CO.","LOS ANGELES",7775,1677,"Privately owned Mutual Water Company or Association",4.63625521765057,3
"801","CA1910203","LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM","LOS ANGELES",10678,2817,"Local Government",3.79055733049343,4
"802","CA1910204","LOS ANGELES CWWD 29 & 80-MALIBU","LOS ANGELES",31204,7498,"Local Government",4.16164310482795,4
"803","CA1910248","LOS ANGELES CWWD 37-ACTON","LOS ANGELES",6532,1410,"Local Government",4.63262411347518,3
"804","CA4100503","BUTANO CANYON MUTUAL","SAN MATEO",150,94,"Privately owned Mutual Water Company or Association",1.59574468085106,2
"805","CA4100509","COUNTY SERVICE AREA 7","SAN MATEO",300,68,"Local Government",4.41176470588235,2
"806","CA4100510","REDWOOD TERRACE MUTUAL","SAN MATEO",43,16,"Privately owned, non-PUC-regulated (Community Water System)",2.6875,1
"807","CA4100512","LOMA MAR MUTUAL","SAN MATEO",65,34,"Privately owned, non-PUC-regulated (Community Water System)",1.91176470588235,1
"808","CA4100522","REDWOOD GLEN CAMP & CONFERENCE CTR","SAN MATEO",169,13,"Privately owned, non-PUC-regulated (Community Water System)",13,2
"809","CA4100529","CAMP LOMA MAR","SAN MATEO",176,21,"Privately owned, non-PUC-regulated (Community Water System)",8.38095238095238,2
"810","CA4100533","SKYLONDA MUTUAL","SAN MATEO",420,154,"Privately owned Mutual Water Company or Association",2.72727272727273,2
"811","CA4100538","CAMP JONES GULCH","SAN MATEO",357,65,"Privately owned, non-PUC-regulated (Community Water System)",5.49230769230769,2
"812","CA4100539","KINGS MOUNTAIN PARK MUTUAL","SAN MATEO",66,23,"Privately owned Mutual Water Company or Association",2.8695652173913,1
"813","CA4100540","OKU INC","SAN MATEO",35,9,"Privately owned, non-PUC-regulated (Community Water System)",3.88888888888889,1
"814","CA4100551","MARCHI CENTRAL FARM","SAN MATEO",50,9,"Privately owned, non-PUC-regulated (Community Water System)",5.55555555555556,1
"815","CA4100555","PORTOLA IMPROVEMENT ASSOCIATION","SAN MATEO",100,35,"Privately owned, non-PUC-regulated (Community Water System)",2.85714285714286,2
"816","CA4100582","COUNTY SERVICE AREA 11","SAN MATEO",450,101,"Local Government",4.45544554455446,2
"817","CA4100583","BIANCHI FLOWERS INC","SAN MATEO",65,11,"Privately owned, non-PUC-regulated (Community Water System)",5.90909090909091,1
"818","CA4110003","CITY OF BURLINGAME","SAN MATEO",31056,8728,"Local Government",3.55820348304308,4
"819","CA4110006","CALIFORNIA WATER SERVICE - BEAR GULCH","SAN MATEO",58432,18836,"Privately owned, PUC-regulated, for profit water company",3.10214482905075,4
"820","CA4110010","MONTARA WATER AND SANITARY DISTRICT","SAN MATEO",5289,1664,"Local Government",3.17848557692308,3
"821","CA4110012","CUESTA LA HONDA GUILD INC","SAN MATEO",832,297,"Privately owned Mutual Water Company or Association",2.8013468013468,2
"822","CA4110013","CITY OF DALY CITY","SAN MATEO",102593,22549,"Local Government",4.54978047806998,5
"823","CA4110019","O'CONNOR TRACT CO-OPERATIVE WATER CO.","SAN MATEO",3128,348,"Privately owned Mutual Water Company or Association",8.98850574712644,3
"824","CA4110022","CITY OF REDWOOD CITY","SAN MATEO",87023,22821,"Local Government",3.81328600850094,4
"825","CA4110023","CITY OF SAN BRUNO","SAN MATEO",46085,11423,"Local Government",4.03440427208264,4
"826","CA4110025","NORTH COAST COUNTY WATER DIST","SAN MATEO",38418,11967,"Local Government",3.21032840310855,4
"827","CA4300516","ALDERCROFT HEIGHTS COUNTY WATER DISTRICT","SANTA CLARA",338,116,"Privately owned Mutual Water Company or Association",2.91379310344828,2
"828","CA4300520","RAINERI MUTUAL WATER COMPANY","SANTA CLARA",132,40,"Privately owned, non-PUC-regulated (Community Water System)",3.3,2
"829","CA4300522","LAKE CANYON MUTUAL WATER COMPANY","SANTA CLARA",156,56,"Privately owned Mutual Water Company or Association",2.78571428571429,2
"830","CA4300525","MELODY WOODS WATER COMPANY","SANTA CLARA",168,51,"Privately owned Mutual Water Company or Association",3.29411764705882,2
"831","CA4300545","SARATOGA HEIGHTS MUTUAL WATER COMPANY","SANTA CLARA",258,92,"Privately owned Mutual Water Company or Association",2.80434782608696,2
"832","CA4300550","VISTA GRANDE WATER USERS ASSOCIATION","SANTA CLARA",60,24,"Privately owned, non-PUC-regulated (Community Water System)",2.5,1
"833","CA4300560","GREEN MOUNTAIN WATER COMPANY","SANTA CLARA",80,38,"Privately owned, non-PUC-regulated (Community Water System)",2.10526315789474,1
"834","CA4300567","BURCHELL ROAD WATER ASSOCIATION","SANTA CLARA",132,27,"Privately owned, non-PUC-regulated (Community Water System)",4.88888888888889,2
"835","CA4300573","GREEN ACRES MUTUAL WATER","SANTA CLARA",53,19,"Privately owned Mutual Water Company or Association",2.78947368421053,1
"836","CA4300578","ANGELO LANE WATER COMPANY","SANTA CLARA",52,15,"Privately owned, non-PUC-regulated (Community Water System)",3.46666666666667,1
"837","CA4300603","OAK DELL PARK","SANTA CLARA",100,53,"Privately owned, non-PUC-regulated (Community Water System)",1.88679245283019,2
"838","CA4300611","CASA DE FRUTA WATER SYSTEM","SANTA CLARA",250,37,"Privately owned, non-PUC-regulated (Community Water System)",6.75675675675676,2
"839","CA4300615","THOUSAND TRAILS - MORGAN HILL","SANTA CLARA",508,320,"Privately owned, non-PUC-regulated (Community Water System)",1.5875,2
"840","CA4300637","LOS RANCHOS DE UVAS WATER COMPANY","SANTA CLARA",58,22,"Privately owned Mutual Water Company or Association",2.63636363636364,1
"841","CA4300638","SAN MARTIN FOOTHILLS WATER COMPANY","SANTA CLARA",145,44,"Privately owned, non-PUC-regulated (Community Water System)",3.29545454545455,2
"842","CA4300716","LUPIN LODGE","SANTA CLARA",300,22,"Privately owned, non-PUC-regulated (Community Water System)",13.6363636363636,2
"843","CA4300740","MOUNTAIN SPRINGS MUTUAL WATER COMPANY","SANTA CLARA",37,18,"Privately owned Mutual Water Company or Association",2.05555555555556,1
"844","CA4300771","NEW AVENUE MUTUAL WATER COMPANY","SANTA CLARA",269,108,"Privately owned Mutual Water Company or Association",2.49074074074074,2
"845","CA4300792","ABORN HEIGHTS WATER MUTUAL ASSOCIATION","SANTA CLARA",45,19,"Privately owned Mutual Water Company or Association",2.36842105263158,1
"846","CA4300909","LICK OBSERVATORY-UCSC","SANTA CLARA",135,32,"Privately owned, non-PUC-regulated (Community Water System)",4.21875,2
"847","CA4300924","PARKWAY LAKES RV PARK","SANTA CLARA",250,121,"Privately owned, non-PUC-regulated (Community Water System)",2.06611570247934,2
"848","CA4300978","BRUSH AND OLD WELL MUTUAL WATER COMPANY","SANTA CLARA",70,27,"Privately owned Mutual Water Company or Association",2.59259259259259,1
"849","CA4301004","EMERALD VALLEY MUTUAL WATER COMPANY","SANTA CLARA",43,13,"Privately owned, non-PUC-regulated (Community Water System)",3.30769230769231,1
"850","CA4301013","ROCKWOOD ESTATES MUTUAL WATER COMPANY","SANTA CLARA",30,14,"Privately owned Mutual Water Company or Association",2.14285714285714,1
"851","CA4310001","CWSC LOS ALTOS SUBURBAN","SANTA CLARA",70014,18308,"Privately owned, PUC-regulated, for profit water company",3.82422984487656,4
"852","CA4310004","CITY OF GILROY","SANTA CLARA",57315,14525,"Local Government",3.94595524956971,4
"853","CA4310005","CITY OF MILPITAS","SANTA CLARA",74865,16094,"Local Government",4.65173356530384,4
"854","CA4310006","CITY OF MORGAN HILL","SANTA CLARA",45742,14487,"Local Government",3.15745150824877,4
"855","CA4310007","CITY OF MOUNTAIN VIEW","SANTA CLARA",79492,17421,"Local Government",4.56299867975432,4
"856","CA4310011","SAN JOSE WATER","SANTA CLARA",1007514,222047,"Privately owned, PUC-regulated, for profit water company",4.53739073259265,6
"857","CA4310012","CITY OF SANTA CLARA","SANTA CLARA",117200,25889,"Local Government",4.5270191973425,5
"858","CA4310013","STANFORD UNIVERSITY","SANTA CLARA",32218,1494,"Privately owned, non-PUC-regulated (Community Water System)",21.5649263721553,4
"859","CA4310019","CITY OF SAN JOSE - NSJ/ALVISO","SANTA CLARA",15300,2353,"Local Government",6.50233744156396,4
"860","CA4310021","PURISSIMA HILLS WATER DISTRICT","SANTA CLARA",6190,2132,"Local Government",2.90337711069418,3
"861","CA4310027","SANTA CLARA VALLEY WATER DISTRICT","SANTA CLARA",0,25,"Local Government",0,-Inf
"862","CA2100508","MUIR BEACH COMMUNITY","MARIN",436,161,"Privately owned, non-PUC-regulated (Community Water System)",2.70807453416149,2
"863","CA2100549","BLUE MOUNTAIN CENTER","MARIN",35,12,"Privately owned, non-PUC-regulated (Community Water System)",2.91666666666667,1
"864","CA2100579","NICASIO VALLEY RANCH MUTUAL","MARIN",43,14,"Privately owned Mutual Water Company or Association",3.07142857142857,1
"865","CA2110001","INVERNESS PUBLIC UTILITY DIST","MARIN",1394,516,"Local Government",2.7015503875969,3
"866","CA2110002","MARIN MUNICIPAL WATER DISTRICT","MARIN",189100,60202,"Local Government",3.14109165808445,5
"867","CA2110007","COAST SPRINGS - CAL. WATER SERVICE (PUC)","MARIN",210,251,"Privately owned, non-PUC-regulated (Community Water System)",0.836653386454183,2
"868","CA2110008","LAWSON S LANDING","MARIN",962,65,"Privately owned, non-PUC-regulated (Community Water System)",14.8,2
"869","CA4900508","CAZADERO WATER COMPANY, INC. (PUC)","SONOMA",250,157,"Privately owned, PUC-regulated, for profit water company",1.59235668789809,2
"870","CA4900532","SONOMA COUNTY CSA 41-JENNER","SONOMA",406,123,"Local Government",3.30081300813008,2
"871","CA4900545","BRANGER MUTUAL WATER COMPANY, INC.","SONOMA",300,83,"Privately owned Mutual Water Company or Association",3.6144578313253,2
"872","CA4900546","HAWKINS WATER CO-CAL WATER SERVICE (PUC)","SONOMA",127,51,"Privately owned, PUC-regulated, for profit water company",2.49019607843137,2
"873","CA4900547","END-O-VALLEY MUTUAL WATER COMPANY","SONOMA",129,39,"Privately owned Mutual Water Company or Association",3.30769230769231,2
"874","CA4900549","SONOMA COUNTY CSA 41-FREESTONE","SONOMA",90,26,"Local Government",3.46153846153846,1
"875","CA4900558","BELMONT TERRACE MUTUAL WATER COMPANY","SONOMA",244,87,"Privately owned Mutual Water Company or Association",2.80459770114943,2
"876","CA4900559","FIRCREST MUTUAL WATER COMPANY","SONOMA",126,47,"Privately owned Mutual Water Company or Association",2.68085106382979,2
"877","CA4900560","KELLY MUTUAL WATER COMPANY","SONOMA",135,41,"Privately owned Mutual Water Company or Association",3.29268292682927,2
"878","CA4900561","WILLOWSIDE MUTUAL WATER COMPANY","SONOMA",350,160,"Privately owned Mutual Water Company or Association",2.1875,2
"879","CA4900570","PALOMINO LAKES MUTUAL WATER CO.","SONOMA",250,113,"Privately owned Mutual Water Company or Association",2.21238938053097,2
"880","CA4900578","CARMET BY THE SEA WATER COMPANY","SONOMA",280,64,"Privately owned Mutual Water Company or Association",4.375,2
"881","CA4900584","TIMBER COVE COUNTY WATER DISTRICT","SONOMA",271,182,"Privately owned, non-PUC-regulated (Community Water System)",1.48901098901099,2
"882","CA4900585","BENNETT RIDGE MUTUAL WATER COMPANY","SONOMA",446,135,"Privately owned, non-PUC-regulated (Community Water System)",3.3037037037037,2
"883","CA4900599","RANDAL'S RANCHETTE MUTUAL WATER COMPANY","SONOMA",100,30,"Privately owned Mutual Water Company or Association",3.33333333333333,2
"884","CA4900600","RINCON VALLEY MOBILE ESTATES","SONOMA",460,230,"Privately owned Mutual Water Company or Association",2,2
"885","CA4900608","SIX ACRES WATER COMPANY","SONOMA",66,22,"Privately owned Mutual Water Company or Association",3,1
"886","CA4900611","RAINS CREEK WATER DISTRICT","SONOMA",208,63,"Local Government",3.3015873015873,2
"887","CA4900612","HEIGHTS MUTUAL WATER COMPANY","SONOMA",363,109,"Privately owned Mutual Water Company or Association",3.3302752293578,2
"888","CA4900620","AUSTIN ACRES MUTUAL WATER COMPANY","SONOMA",67,24,"Privately owned, non-PUC-regulated (Community Water System)",2.79166666666667,1
"889","CA4900639","REDWOOD HEIGHTS MUTUAL WATER COMPANY","SONOMA",30,18,"Privately owned Mutual Water Company or Association",1.66666666666667,1
"890","CA4900640","SONOMA COUNTY MUTUAL WATER COMPANY","SONOMA",40,18,"Privately owned Mutual Water Company or Association",2.22222222222222,1
"891","CA4900641","SUNRISE MOUNTAIN MUTUAL WATER COMPANY","SONOMA",100,51,"Privately owned Mutual Water Company or Association",1.96078431372549,2
"892","CA4900660","YULUPA MUTUAL WATER COMPANY","SONOMA",200,59,"Privately owned Mutual Water Company or Association",3.38983050847458,2
"893","CA4900669","WENDELL LANE MUTUAL WATER COMPANY","SONOMA",88,25,"Privately owned Mutual Water Company or Association",3.52,1
"894","CA4900687","BROOKWOOD MOBILE HOME PARK","SONOMA",400,202,"Privately owned, non-PUC-regulated (Community Water System)",1.98019801980198,2
"895","CA4900720","MOBILE HOME ESTATES","SONOMA",210,151,"Privately owned, non-PUC-regulated (Community Water System)",1.39072847682119,2
"896","CA4900721","COLONIAL PARK","SONOMA",342,195,"Privately owned, non-PUC-regulated (Community Water System)",1.75384615384615,2
"897","CA4900785","NOEL HEIGHTS-CAL WATER SERVICE (PUC)","SONOMA",137,48,"Privately owned, PUC-regulated, for profit water company",2.85416666666667,2
"898","CA4900787","PLAZA MOBILE HOME PARK","SONOMA",125,71,"Privately owned, non-PUC-regulated (Community Water System)",1.76056338028169,2
"899","CA4900789","BLUE SPRUCE MOBILE HOME PARK","SONOMA",90,56,"Privately owned, non-PUC-regulated (Community Water System)",1.60714285714286,1
"900","CA4900791","WESTERN MOBILE HOME PARK","SONOMA",225,73,"Privately owned, non-PUC-regulated (Community Water System)",3.08219178082192,2
"901","CA4900796","SANTA ROSA MOBILE ESTATES","SONOMA",420,141,"Privately owned, non-PUC-regulated (Community Water System)",2.97872340425532,2
"902","CA4900798","MOUNTAIN VIEW MOBILE ESTATES, LLC","SONOMA",250,111,"Privately owned, non-PUC-regulated (Community Water System)",2.25225225225225,2
"903","CA4900832","LEISURE MOBILE HOME PARK","SONOMA",410,186,"Privately owned, non-PUC-regulated (Community Water System)",2.20430107526882,2
"904","CA4900843","SONOMA RANCH MUTUAL WATER COMPANY","SONOMA",178,54,"Privately owned Mutual Water Company or Association",3.2962962962963,2
"905","CA4900846","ROLLING OAKS ROAD ASSOCIATION","SONOMA",25,16,"Privately owned Mutual Water Company or Association",1.5625,1
"906","CA4900850","BODEGA WATER COMPANY","SONOMA",77,38,"Privately owned Mutual Water Company or Association",2.02631578947368,1
"907","CA4900892","SUMMIT VIEW RANCH MUTUAL WATER CO.","SONOMA",45,24,"Privately owned Mutual Water Company or Association",1.875,1
"908","CA4900893","WEST WATER COMPANY (PUC)","SONOMA",40,13,"Privately owned, PUC-regulated, for profit water company",3.07692307692308,1
"909","CA4900913","ROBIN WAY WATER SYSTEM","SONOMA",66,20,"Privately owned Mutual Water Company or Association",3.3,1
"910","CA4900943","ALLIANCE REDWOODS CONFERENCE GROUNDS","SONOMA",418,73,"Privately owned, non-PUC-regulated (Community Water System)",5.72602739726027,2
"911","CA4900973","GEORGE RANCH MUTUAL WATER COMPANY","SONOMA",75,54,"Privately owned Mutual Water Company or Association",1.38888888888889,1
"912","CA4901062","KINNYBROOK MUTUAL WATER COMPANY","SONOMA",48,23,"Privately owned, non-PUC-regulated (Community Water System)",2.08695652173913,1
"913","CA4901346","DELORES LANE WATER SYSTEM","SONOMA",56,17,"Privately owned Mutual Water Company or Association",3.29411764705882,1
"914","CA4901381","LICHAU HYLANDS MUTUAL WATER COMPANY","SONOMA",37,16,"Privately owned Mutual Water Company or Association",2.3125,1
"915","CA4901445","JAMES COURT WATER SYSTEM","SONOMA",192,40,"Privately owned, non-PUC-regulated (Community Water System)",4.8,2
"916","CA4910002","CLOVERDALE, CITY OF","SONOMA",9157,3253,"Local Government",2.81494005533354,3
"917","CA4910005","HEALDSBURG, CITY OF","SONOMA",12104,4900,"Local Government",2.47020408163265,4
"918","CA4910006","PETALUMA, CITY OF","SONOMA",63714,19964,"Local Government",3.19144460028051,4
"919","CA4910007","SEA RANCH WATER COMPANY,THE (PUC)","SONOMA",6134,1859,"Privately owned, PUC-regulated, for profit water company",3.29962345346961,3
"920","CA4910009","SANTA ROSA, CITY OF","SONOMA",178488,52770,"Local Government",3.38237635019898,5
"921","CA4910010","SONOMA COUNTY CSA 41-FITCH MOUNTAIN","SONOMA",1108,337,"Local Government",3.28783382789317,3
"922","CA4910012","SONOMA, CITY OF","SONOMA",11654,4189,"Local Government",2.78204822153259,4
"923","CA4910013","VALLEY OF THE MOON WATER DISTRICT","SONOMA",27000,6981,"Local Government",3.86764073914912,4
"924","CA4910014","ROHNERT PARK, CITY OF","SONOMA",42067,9572,"Local Government",4.3947973255328,4
"925","CA4910016","COTATI, CITY OF","SONOMA",7535,2663,"Local Government",2.8295155839279,3
"926","CA4910017","WINDSOR, TOWN OF","SONOMA",28209,8917,"Local Government",3.1635079062465,4
"927","CA4910018","ARMSTRONG VALLEY-CAL WATER SERVICE (PUC)","SONOMA",424,269,"Privately owned, non-PUC-regulated (Community Water System)",1.57620817843866,2
"928","CA4910019","FORESTVILLE WATER DISTRICT","SONOMA",3250,985,"Local Government",3.2994923857868,3
"929","CA4910020","SONOMA COUNTY WATER AGENCY","SONOMA",0,175,"Local Government",0,-Inf
"930","CA4910021","BODEGA BAY PUBLIC UTILITY DISTRICT","SONOMA",1435,1060,"Local Government",1.35377358490566,3
"931","CA4910022","CANON MANOR WATER SYSTEM","SONOMA",782,237,"Privately owned, non-PUC-regulated (Community Water System)",3.29957805907173,2
"932","CA4910024","CALIFORNIA-AMERICAN GEYSERVILLE (PUC)","SONOMA",1020,309,"Privately owned, PUC-regulated, for profit water company",3.30097087378641,3
"933","CA4910025","KENWOOD VILLAGE WATER COMPANY (PUC)","SONOMA",977,296,"Privately owned, PUC-regulated, for profit water company",3.30067567567568,2
"934","CA4910029","CAMP MEEKER WATER SYSTEM","SONOMA",1168,354,"Local Government",3.29943502824859,3
"935","CA1500209","ALTA SIERRA MUTUAL WATER CO.","KERN",143,224,"Privately owned Mutual Water Company or Association",0.638392857142857,2
"936","CA1500324","WONDER ACRES WATER SYSTEM","KERN",89,33,"Local Government",2.6969696969697,1
"937","CA1500327","RANCHO SECO INC. WATER SYSTEM","KERN",25,12,"Privately owned Mutual Water Company or Association",2.08333333333333,1
"938","CA1500333","CWS - FREMONT VALLEY","KERN",116,84,"Privately owned, PUC-regulated, for profit water company",1.38095238095238,2
"939","CA1500393","RAINBIRD VALLEY MUTUAL WATER COMPANY","KERN",238,85,"Privately owned Mutual Water Company or Association",2.8,2
"940","CA1500398","FRONTIER TRAILS HOMEOWNERS ASSOC INC.","KERN",32,32,"Privately owned Mutual Water Company or Association",1,1
"941","CA1500401","METTLER COUNTY WATER DISTRICT","KERN",157,43,"Privately owned, non-PUC-regulated (Community Water System)",3.65116279069767,2
"942","CA1500405","AERIAL ACRES WATER COMPANY, INC.","KERN",112,48,"Privately owned, non-PUC-regulated (Community Water System)",2.33333333333333,2
"943","CA1500407","CWS-SPLIT MOUNTAIN WATER SYSTEM","KERN",211,160,"Privately owned, PUC-regulated, for profit water company",1.31875,2
"944","CA1500436","HUNGRY GULCH MWC","KERN",74,36,"Privately owned Mutual Water Company or Association",2.05555555555556,1
"945","CA1500442","SUNSET APARTMENTS WS","KERN",37,20,"Privately owned, non-PUC-regulated (Community Water System)",1.85,1
"946","CA1500455","WILLIAM FISHER MEMORIAL WATER COMPANY","KERN",56,16,"Privately owned Mutual Water Company or Association",3.5,1
"947","CA1500466","A.F.P. MUTUAL WATER COMPANY","KERN",686,210,"Privately owned Mutual Water Company or Association",3.26666666666667,2
"948","CA1500478","VALLEY ESTATES POA, INC.","KERN",386,113,"Privately owned Mutual Water Company or Association",3.41592920353982,2
"949","CA1500485","ANTELOPE VALLEY MOBILE ESTATES","KERN",60,28,"Privately owned, non-PUC-regulated (Community Water System)",2.14285714285714,1
"950","CA1500489","BRITE LAKE MUTUAL WATER COMPANY","KERN",89,27,"Privately owned Mutual Water Company or Association",3.2962962962963,1
"951","CA1500540","PINON VALLEY WATER COMPANY","KERN",109,38,"Privately owned, PUC-regulated, for profit water company",2.86842105263158,2
"952","CA1500542","WILLOW SPRINGS MOBILE HOME PARK","KERN",275,104,"Privately owned, non-PUC-regulated (Community Water System)",2.64423076923077,2
